,T,p,rho
0,0.9031098045354051,0.27073176992354897,0.06847788379268868
1,0.7820489882137466,0.4105291286125017,0.5656367742024158
2,0.2800842918184211,0.4783381768802971,0.8825110353057128
3,0.7851080273806124,0.10636653796191131,0.020616450911591856
4,0.8716280347593112,0.574142442315636,0.5010793167874725
5,0.10547822505405136,0.16818412771249158,0.9550650372364868
6,0.4298752139892732,0.5355668651767537,0.8155605169639615
7,0.6988567060761061,0.626387032717532,0.6677003943829015
8,0.06301609046155654,0.629388916243156,0.9758986157941447
9,0.13065578357811092,0.31470290323681305,0.9451190898984008
10,0.4322366560521028,0.21512160105778644,0.8093515332597679
11,0.9152020426513656,0.21116877027226588,0.05266604075148508
12,0.20640041691271194,0.9434463940437089,0.9177547730595079
13,0.21470028797452734,0.4841727298625874,0.9106974440006395
14,0.8495081005344318,0.3066398014777042,0.08416703178710061
15,0.7297780091318051,0.9484342521825306,0.6653846303587291
16,0.2808672517489156,0.8019489778655123,0.8854481933057451
17,0.06950042394837408,0.2828056657432555,0.9711484174837608
18,0.5938449155812404,0.03174597815471758,0.007111349033389628
19,0.14541477647806367,0.5825737218574438,0.9408919559406598
20,0.24159748435194017,0.5924414032455178,0.9001935870012409
21,0.723504897157564,0.5457125665909686,0.6500417416444455
22,0.4565006216321864,0.14713166619155038,0.797062070167093
23,0.46299798321038554,0.09579614076806875,0.7931341883263048
24,0.9173095572973085,0.6245826895059458,0.425895061449966
25,0.9201255029418067,0.688516142734485,0.45786504294764624
26,0.9143744764574677,0.04629436284047561,0.007673896595317528
27,0.28033866876883473,0.5243552938231534,0.8828182961654862
28,0.22218876061707293,0.6195151730344264,0.9087980534601536
29,0.44652049464842847,0.8490275242758974,0.812610494430135
30,0.3982362817294022,0.09305847855495664,0.824056522474516
31,0.789637167606319,0.1934057085987304,0.04917838929298503
32,0.7800550407465527,0.32793409943022,0.5710870192974401
33,0.26358299388024775,0.26434699532414785,0.8878056343872542
34,0.05669611323230295,0.11720847517448363,0.9757534186922429
35,0.22430992839268704,0.19677935104320088,0.9043584234999407
36,0.45598805759985817,0.20180866156195287,0.7982107734121678
37,0.5946698065166082,0.48973548065803885,0.7312427205656233
38,0.474944405975368,0.49438014674912856,0.7935246226426034
39,0.5773857186829635,0.6312941097132893,0.7437303199829872
40,0.917057404799558,0.8664495192487326,0.4945501657999724
41,0.6080355498802414,0.37685236543522294,0.7185723834107207
42,0.5718064154545721,0.6094683715554188,0.7460911204708851
43,0.9900036275553211,0.9860076840800379,0.4324311583497456
44,0.17809648792128152,0.45935328268230113,0.9261564988893897
45,0.74439802459087,0.9211917024022823,0.6487071360840378
46,0.4651329743900201,0.2837600750379339,0.7950431144373429
47,0.9086103369098071,0.7153165942326292,0.4814779591252961
